,id,MetadataSubject,MetadataTo,SenderPersonId,MetadataDateSent,MetadataDateReleased,MetadataCaseNumber,MetadataDocumentClass,ExtractedBodyText
13,14,10,0,4.0,3,0,0,0,"Anne-Marie Slaughter,  Jacob Mills, Cheryl D; inesp@stategov; Abedin, urtlepiece on libya nfz that will appear on NYT op-ed page tomorrowB6wanted to make sure you had a heads up. AMAnne-Marie Slaughter is a professor of politics and international affairs at Princeton.By Anne-Marie SlaughterPRESIDENT Obama says the noose is tightening around Col. Muammar al-Qaddafi. In fact, it istightening around the Libyan rebels, as Colonel Qaddafi makes the most of the world's dithering andsteadily retakes rebel-held tow.ns, The United States and Europe are temporizing on a no-flight zonewhile the Organization of the Islamic Conference, the Gulf Cooperation Council and now the ArabLeague have all called on the United Nations Security Council to authorize one. Opponents of a no-flight zone have put forth five main arguments, none of which, on closer examination, hold up.It's not in our interest. Gen. Wesley K. Clark argues that ""Libya doesn't sell much oil to the UnitedStates"" and that while Americans ""want to support democratic movements in the region,"" they arealready doing that in Iraq and Afghanistan. Framing this issue in terms of oil is exactly what Arabpopulations and indeed much of the world expect, which is why they are so cynical about ourprofessions of support for democracy and human rights. Now we have a chance to support a newbeginning in the Muslim world — a new beginning of aountable governments that can provideservices and opportunities for their citizens in ways that could dramatically decrease support forterrorist groups and violent extremism. It's hard to imagine something more in our strategic interest.It will be counter-productive. Many thoughtful commentators, including Al Jazeera's directorgeneral, Wadah Khanfar, argue that what is most important about the Arab spring is that it is comingfrom Arabs themselves.  this perspective, Western military intervention will play right intoQaddati's hands, allowing him to broadcast pictures of Western bombs falling on Arab civilians. Butthese arguments, while important, must be weighed against the appeals of of Libyan oppositionfighters asking for international help, and now, astonishingly, against support for a no-flight zone bysome of the same governments that have kept their populations quiescent by holding up the specter offoreign intervention. Assuming that a no-flight zone can be imposed by an international coalition thatincludes Arab states, we have an opportunity to establish a new narrative of Western support for Arabdemocrats. of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045012 of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER.It won't work. The United States ambassador to NATO, Ivo . Daaider, argues that stoppingColonel Qaddafi's air force will not be decisive; he will continue to inflict damage with tanks andhelicopters, bombing oil refineries and depots on his way to retaking key towns. But the potentialeffect of a no-flight zone must also be assessed in terms of Colonel Qaddafi's own calculations abouthis future. Richard Downie of the Center for Strategic and International Studies argues that althoughColonel Qaddafi cultivates a mad-dictator image, he has been a canny survivor and politicalmanipulator for 40 years. e is aware of debates with regard to a no-flight zone and is timing hismilitary campaign aordingly; he is also capable of using his air force just enough to gain strategicadvantage, but not enough to trigger a no-flight zone. If the international community lines up againsthim and is willing to crater his runways and take out his antiaircraft weapons, he might well renew hisoffer of a negotiated departure.If it does work, we don't know what we will get. volutions are almost always followed by internaldivisions among the revolutionaries. We should not expect a rosy, Jeffersonian Libya. But the choiceis between uncertainty and the certainty that if Colonel Qaddafi wins, regimes acrosS the region willconclude that force is the livay to answer protests. And when Colonel Qaddafi massacres theopposition, young protesters across the Middle East will conclude that when we were asked to supporttheir cause with more than words, we blinked. Americans in turn will read the words of Mr. Obama's 2009 speech in Cairo., with its lofty promises to stand for universal human rights, and cringe.Let's arm the rebels instead. Some commentators who agree with the analysis above say we could'better aomplish our goals by providing intelligence and arms to the opposition. That would, ofcourse, be much easier for us. It undoubtedly appeals to Mn Obama as a neat compromise betweenthe desire to help the protesters and the desire not to overrule his defense secretary's reluctance toparticipate in a no-flight zone. But we would be providing arms not to a disciplined military, but toragged groups of brave volunteers who barely know how to use the weapons they have. They needaction that will change the situation on. the ground for Colonel Qaddafi, as well as his the calculations.Moreover, by the time arms and intelligence could take effect, it is quite likely that Colonel Qaddafiwill have retaken or at least besieged .Benghazi, the opposition stronghold.The United States should immediately ask the Security Council to authorize a no-flight zOne andmake clear to Russia and China that if they block the resolution, the blood of the Libyan oppositionwill be on their hands. We should push them at least to abstain and bring the issue to a vote as soon aspossible. If we get a resolution, we should work with the Arab League to quickly assemble aninternational coalition to impose the no-flight zone. If the Security Council fails toact, then we shouldrecognize the opposition Interim National Council as the legitimate Libyan government, as France hasdone, and work with the Arab League to give the council any assistance it requests: of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045013 of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER.Any use of force must be carefully and fully debated, but that debate has now been had. Ifs beenraging for a week, during which almost every Arab country has come on board calling for a no-flightzone and Colonel Qaddafi has retaken two key cities and is moving toward three more. It is time toact. $ of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-5CB0045014"
14,15,11,0,2.0,0,0,0,0,"_ ..... Randolph, Lawrence M ,  : Mills, Cheryl D RE: Not a dry eye in NEAIncluding mine. er remarks were really moving. Chriswas an amazing man. Such a huge loss. You know, I was in Libyabefore coming here and in my almost ten years, I have never worked with such a calm, cool headed, funnydiplomat. Made it all seem really easy- even in one of the hardest places to work in the world."
15,16,12,0,5.0,0,0,0,0,"I asked to attend your svtc today with Embassy Tripoli, because had first met so many of that staff when I went withyou from Malta to Tripoli for the reopening of our Embassy.day's deaths hit me much harder than I would have guessed. I am always proud to serve under you, but never haveyour words been more meaningful than on today's svtc. Every day of your tenure has been extraordinary, but nonemore so than today. Thank you again for your inspirational leadership and example.As ever,arold of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045269"
16,17,13,0,6.0,0,0,0,0,ope. See picture below Kamala sent.
17,18,14,0,6.0,0,0,0,0,Another photo.
18,19,15,0,0.0,0,0,0,0,This is nice.
19,20,13,3,0.0,0,0,0,0,"Amazing.Sullivan, Jacob J ,  Sherman, Wendy R; ; Mills, Cheryl D; Nuland, Victoria J; ines, Philippe: The Youth of Libya"
20,21,7,4,3.0,0,0,0,0," <hrod17@clintonernaii.com›,  esullivanjj@state.gov' Fwd: more on libyaLibya 37 sept 12 12,docxWe should get this around asap."
21,22,7,2,3.0,0,0,0,0,"Pis print. ,  °Russont@state.gov° Fwd: more on libyaLibya 37 sept 12 12.dacx"
22,23,16,2,3.0,0,0,0,0,Pis print.
23,24,16,4,3.0,0,0,0,0,"Follow Up Flag: Follow upFlag Status: FlaggedMore info,"
24,25,17,0,0.0,4,0,0,0,B5
25,26,18,0,7.0,5,0,0,0,"Sidney Blumenthal,  13, 2012 12:29 AM: More Magariaf privat reax (sent now as memo). Sidhre memo more magariaf private reax 091312.docxB6 13, 2012For: illary"
26,27,7,0,0.0,5,0,0,0,Will do.
27,28,19,0,2.0,5,0,0,0,mind me to discuss
28,29,20,0,8.0,5,0,0,0,"http://religion.b1ogs.cnn.com/20 1 2/09/13/my-take-a-deadlv-link-between-islamic-and-anti-islam c-extremists/Editor's Note: Stephen Prothero, a Boston University religion scholar and author of ""The American Bible:ow Our Words Unite, Divide, and Define a Nation,"" is a regular CNN Belief Blog contributor.By Stephen Prothero, Special to CNNWhat should we make of the attacks on the U.S. consulates in Egypt, Libya and Yemen, and the deaths offour Americans, including U.S. ambassador to Libya Chris Stevens?It depends on who you mean by ""we."" the perspective of those who stormed the embassies, taking down the American flag in Egypt andreplacing it with a black flag reading, ""There is no God but Allah and Mohammed is his messenger,"" theirs wasan act of justice on behalf of the One True Faith.The Americans had it coming, aording to this view, because Americans are on the wrong side in the clash ofcivilizations between the Judeo-Christian West and the Muslim world. And the creation of an anti-Islamic video(ironically entitled ""Innocence of Muslims"") by a producer thought to be an American provided the catalyst(or excuse) for the protests.Why Muslims are sensitive about portraying the Prophet MohammedMost Americans operate by a different ""we.""  our perspective, the assault was an unjust and cowardlyattack on (among other things) the rule of law, the institution of diplomacy and the right of free speech.Libyan Deputy Prime Minister Mustafa Abushagur gave voice to this perspective when he said on Twitter, ""Icondemn these barbaric attacks in the strongest possible terms. This is an attack on America, Libya and freepeople everywhere.""""Some have sought to justify this vicious behavior as a response to inflammatory material posted on theInternet,"" Secretary of State illary Clinton added. ""The United States deplores any intentional effort todenigrate the religious beliefs of others. Our commitment to religious tolerance goes back to the very beginningof our nation.""In a commencement speech at Kenyon College in 2005, later published as""This Is Water,"" novelist DavidFoster Wallace urged student to scrutinize the ""natural, basic self-centeredness"" that puts ""me"" at the center ofthe world.This unconscious ""default setting"" fosters the sort of ""blind certainty"" that manifests as arrogant atheism andfundamentalism alike, Wallace said. And the point of education is to shake us out of that ""default setting"" — tobegin to see things from the perspectives of others.Follow the CNN Belief Blog on Twitter of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045293B6 of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER.Wallace focused in his speech on the individual ""I."" But his critique can be applied as well to another ""defaultsetting"" (this one more cultural than natural): our tendency to understand the world from the perspective ofGive:5Aording to those who stormed the embassies, ""Innocence of Muslims"" was not made by an individual(whoever the shadowy ""Sam Bacile"" may — or may not — be). It was made by anAmerican.Moreover, aording to this groupthink, Americans as a group are responsible for the sins of individualAmericans, so it makes perfect sense to strike out at embassy personnel who issued a statement before theprotests turned deadly, condemning ""the continuing efforts by misguided individuals to hurt the religiousfeelings of Muslims, as we condemn efforts to offend believers of all religions.""CNN's Belief Blog: The faith angles behind the biggest storiesMeanwhile, the shadowy figures who produced and distributed ""Innocence of Muslims"" are imprisoned in somegroupthink of their own, which gathers all the world's Muslims under the category of an evil Islamic empire.Their film doesn't just depict Mohammed as a con man, philanderer, and pedophile. It portrays his followers asdupes.Unfortunately, the events of recent days have done nothing to jar the alleged producer out of this default setting.When questioned about his film in the aftermath of the Libyan and Egyptian attacks, a man identifying himselfas ""Sam Bacile"" reportedly told the Wall Street Journal that ""Islam is a cancer.""You don't need a Kenyon college degree to see how this vicious cycle of provocation and violence is fueled,and you don't need to be a moral relativist to see that it takes two sides to keep it running.I am an American who is justly proud of the First Amendment and its protections of freedom of speech andreligion. And I believe that killing your opponents in the name of God or nation is a far greater offense thanoffending them with an ignorant movie.Nonetheless, the root problem on display here is in my view what Wallace denounced as ""blind certainty.""Our world is not divided first and foremost along religious or national lines, into Muslims and Christians andindus or Israelis and Americans and Egyptians.Neither is it divided into secularists and people of faith — the New Atheists and partisans of old-time religion.The real ""red line"" in the modem world divides the certain from the uncertain. And in the tragic events of recentdays, those who produced and distributed this hateful movie stand on the same side of this line as the killers ofinnocents in Libya and Egypt.Both groups are possessed by the unholy spirit of ""blind certainty,"" unacquainted with both the complexity andcontradictions of life on Earth and the ""cloud of unknowing"" that hovers over every major religion.The great religious thinkers in Judaism, Christianity and Islam always knew enough to know that they did notknow everything.They knew the difference between the eternal decrees of the God of Abraham and the all-too-flawed thoughts ofordinary people. They knew, in short, that they are not God, who alone is charged with creating and destroyingthe world and discriminating along the way between the real and the illusory.The killers in Libya have forgotten that. So have the not-so-innocent producers and distributors of Innocenceof Islam.""The opinions expressed in this commentary are solely those of Stephen Prothero. of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045294 of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER.CNN's Belief Blog: The faith angles behind the biggest storiesFollow the CNN Belief flog on Twitter of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-5CB0045295"
29,30,21,0,9.0,6,0,0,0,See note below
30,31,22,0,0.0,5,0,0,0,FYI
31,32,23,0,2.0,5,0,0,0,embassy in Yemen
32,33,24,0,1.0,6,0,0,0,"B6,  27, 201i 9:05 PM: Lots of new intel; possible Libyan collapse. Sidhic memo lots of new Intel; possible imminent collapse 032711.docx; hrc memo lots ofnew intel; possible imminent collapse 032711.docx 27. 2011For: illary Sid: Lots of new Intel; Libyan army possibly on verge of collapseLatest:During the evening of  27, 2011, individuals with direct aess to the military committee of the NationalLibyan Council (NLC) stated in confidence that while the rebel forces continue to have organization andcommunications problems, their morale has improved drastically, and they believe the Libyan Army is on theverge of collapse. Under attack from allied Air and Naval forces, the Libyan Army troops have begun to desertto the rebel side in increasing numbers. The rebels are making an effort togeet these troops as fellow Libyans,in an effort to encourage additional defections.(Source Comment: Speaking in strict confidence, one rebel commander stated that his troops continue tosummarily execute all foreign mercenaries captured in the fighting. At the same time Colonel Khalifa aftzu•has reportedly joined the rebel command structure, in an effort to help organization the rebel forces. aftar wasthe commander of the Libyan National Army ([NA), a 1500 man force of anti-Qaddafi troops based inN'djamena, Chad, until current President Idryss Debi overthrew Chadian President ussein abre in the fall of1990, with the assistance of Libyan and French troops. aftar and his troops lied to a cotaatry in central Africaand many, including aftar, later settled in the United States.)An extremely sensitive source added that the rebels are receiving direct assistance and training from a smallnumber of Egyptian Special Forces units, while French and British Special Operations troops are working out ofbases in Egypt, along the Libyan border. These troops are overseeing the transfer of weapons and supplies tothe rebels. of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045018 of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER.(Source Comment: The rebels are moving back into 'areas that they lost in mid-  fighting, and using theallied air cover, they are confident they can move into the Tripoli district in a matter of days. One rebel sourcereported that they had reliable intelligence that people were evacuating Qaddafi's hometown, Sirte, anticipatingits capture by the rebels. Sirte is located mid-way between Tripoli and Benghazi; its loss will be apsychological blow for Qaddall.)Separately, a sensitive European source stated in strict confidence that French military commanders anticipate acomplete collapse of the Libyan military command and control structure in the next week. These officers, whohave experience with the Libyan Army during its invasion of Chad in the late 1980s stated that the Libyantroops did not perform well under concentrated fire from troops armed with modern weapons.This source also noted that information from Tripoli has become increasingly difficult to obtain, but there arereports of deaths among some Qaddafi's senior security officials, including Mansour Daw, and that the Libyanleader himself may have experienced a health problem. Unfortunately, the European Intelligence services havebeen unable to confirm or discredit these reports. This situation has become increasingly frustrating for FrenchPresident Nicolas Sarkozy, who, aording to knowledgeable individuals, is pressing to have France emergefrom this crisis as the principal foreign ally of any new government that takes power.Sarkozy is also concerned about continuing reports that radical/terrorist groups such as the Libyan FightingGroups and Al Qa'ida in the Islamic Maghreb (AQIM) are infiltrating the NLC. and its military command.Aordingly, he asked sociologist who has long established ties to Israel, Syria, and other B6nations in the Middle East, to use his contacts to determine the level of influence AQIM and other terroristgroups have inside of the NLC. Sarkozy also asked for reports setting out a clear picture of the role of theMuslim Brotherhood in the rebel leadership.These sources note that French diplomats and intelligence officers in Egypt are in contact with the followingrebel figures in Benghazi:MESMAR1Nouri (Qaddafi's former head of protocol, who along with Mousa Kousa was considered the Libyanleaders most loyal follower. Noun currently lives in France;.Gehan (GI-LEI-LAND Abdallah (colonel);CARRA.NT Faraj,BOUKRIS Fathi,General Abdelfateh Younis (commander of the rebel forces)(Source Comment: Senior European security officials caution that AQIM is watching developments in Libya,and elements of that organization have been in touch with tribes in the southeastern part of the country. Theseofficials are concerned that in a post-Qaddafi Libya, France and other western European countries must movequickly to ensure that the new government does not allow AQUA and others to set up small, semi- autonomouslocal entities—or ""Caliphates""—in the oil and gas producing regions of southeastern Libya.)These knowledgeable sources add that the insurgents have the following weapons stockpiled in Benghazi:82 and 120 mm. mortars;GPZ type machine guns;12.7mm. machine guns mounted on 4x4 vehicles;some anti-aircraft batteries type ZSU 23/2 and 23/4 as well as Man-Portable Air-Defense Systems(MANPADS) type SAM?;some tanks type T-72; of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045019 of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER.Possibly some fixed wing aircraft, and some light transporthnedim helicopters.A seemingly endless supply of AK47 assault rifles and ammunition (even for systems ZSU 23/4 and 23/2).French, British and Egyptian Special Forces troops are training the rebels inside of western Egypt, and to alimited degree in the western suburbs of Benghazi.(Source Comment: These sources add that the MANPAD SAM7 systems appear to be old and badly preserved.and have been judged useless by the rebels.) of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045020"
33,34,22,2,3.0,5,0,0,0,"Pis print. Sullivan, Jacob 3 [mailto:SullivanJJ@state.gov] ,  : I-I FW: Quick Summary of POTUS Calls to Presidents of Libya and EgyptFYI"
34,35,25,0,0.0,5,0,0,0,FYI
36,37,27,0,10.0,7,0,0,0,"8.25 am DEPART Private sidence En route State Department8:35 am ARRIVE State Department8,35 am PRESIDENTIAL DAILY BRIEFING8.40 am Secretary's Office8:45 am DAILY SENIOR STAFF MEETING9:15 am Secretary's Conference Room9:20 am GROUP POTO wfFEMALlE MILITARY OFFICERS FROM AFRICA9:25 am Treaty Ksom, 7 FloorClosed Press (Official Photographer Only), Staff: Monica , WS Carson will greet and escort to the Treaty Room-Approx. 25-30 people attending; consecutive French and Portuguese interpretation9:30 tun WEEKLY MEETING w/UN AMBASSADOR SUSAN RICE10:00 am Secretary's Office10-05 am AWARD PRESENTATION TO DEPUTY EXECUTIVE SECRETARY10:10 am PAM QUANRUDSecretary's Outer OfficeClosed Press (Official Photographer only), Staff Rob and lAnta-15 people expected, YOU present the Superior onor Award to Pam10:15 am MEETING w/ASSISTANT SECRETARY MIKE POSNER AND CERYL10:45 am Secretary's Outer Office10:45 am PRE-BRIEF wfWENDY AND JAKE FOR W MEETING11:15 am Secretary's Outer Office11:20 am DEPART State Department *En Route White ouse11.25 am ARRIVE White ouseII:30 am MEETING1-00 pm White ouse Situation Room1.00 pm DEPART White ouse En Route Andrews Air Force Base1:30 pm ARRIVE Andrews Air Force Base2:15 pm CEREMONY FOR RETURN OF TE REMAINS OF DEPARTMENT2.45 pm COLLEAGUES FROM BENGAZI, LIBYAAndrews Air Force BasePress TOO, Scenario TBD, Staff: Monica3:00 pm (t)DEPART Andrews Air Force Base * En Route State Department3:30 pm(t)ARRIVE State Department3.30 pm OFFICE TIMETBD Secretary's OfficeTBD DEPART State Department *En Route Andrews Air Force BaseTBD ARRIVE Andrews Air Force BaseTBD DEPART Andrews Air Force Base via Air Force Aircraft Tail i160204En route White Plains, NYTBD ARRIVE Westchester County Airport of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045306 of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER.TBD DEPART Westchester County Aimed* Ea route Private sidence113D ARRIVE Private sidence of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-5CB0045307"
38,39,28,0,9.0,7,0,0,0,"I'm giving you credit for inspiring the ""peaceful"" protests."
39,40,29,0,2.0,7,0,0,0, of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-5CB0045314
40,41,30,0,0.0,8,0,0,0,Fyi--
41,42,29,5,11.0,7,0,0,0,deserved.Great teamwork -- great leadership!
42,43,31,6,3.0,9,0,0,0,Pis print.
43,44,30,4,3.0,8,0,0,0,Both Gates and I said the same on the  shows.
44,45,32,0,2.0,7,0,0,0,Fyi
45,46,30,0,0.0,8,0,0,0,My lYi was referring to the Libyan. The arming the rebels breathlessness is silly.—
46,47,33,0,7.0,10,0,0,0,"http://www.salon.comi2o12/1o/or/gops_october_surprisei, Oct 1, 2012 09:30 AM EDTGOP's  surprise?They're calling it the ""Jimmy Carter Strategy"": ExploitLibya attack to paint Obama as weak on terrorismBy cY'aia?,_(Credit: AP/AI Behrman/Salort)Aording to a highly reliable source, as Mitt Romney and President Barack Obama prepare for thefirst presidential debate  night, top publican operatives are primed to unleash a newtwo-pronged offensive that will attack Obama as weak on national security, and will be based, in part,on inW !ia:en,y-.3iTeForrnation regarding the attacks in Libya that killed U.S. ambassador ChrisStevens on The source, who has first-hand knowledge of private, high-level conversations in the Romney tampthat took place in Washington, DC last week, said that at various times the GOP strategists referred totheir new operation as the Jimmy Carter Strategy or the  Surprise.e added that they planned to release what they hoped would be ""a bombshell"" that would makeLibya and Obama's foreign policy a major issue in the campaign. ""My understanding is that they havecome up with evidence that the Obama administration had positive intelligence that there was goingto be a terrorist attack on the intelligence.""The source described the publicans as chortling with glee that the Obama administration""definitely had intel"" about the attack before it happened. ""Intelligence can be graded in differentways,"" he added, ""and sometimes A and B don't get connected. But [the Romney campaign] will try topaint it to look like Obama had advance knowledge of the attack and is weak on terrorism.""e said they were jubilant about their new strategy and said they intended to portray Obama as ahelpless, Jimmy Carter-like president and to equate the tragedy in Libya with President Carter's failedattempt to rescue American hostages in Iran in t980. ""They are so excited about it,"" he said. ""Overand over again they talked about bow it would be just like Jimmy Carter's failed raid. They feel it isgoing to give them .a last-minute landslide in the election.""The source, however, said lie was dubious about the tactic. "" me, it is indicative that they have losttouch with a huge portion of the electorate,"" he said.The source declined to reveal the names of the GOP operatives who were present. But he said, ""Thesewere the top guys in the party. It was a .private, unguarded planning conversation."" e further of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045540 of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER.described participants in the meeting as consisting of well-known names tied to the big publicansuper PACs and people who had aess to high-level national security intelligence.""As usual, Karl Rove wasn't present,"" he said, ""but some were close to Rove.""The source said that ""there was quite a bit more"" to the operation than simply revealing theintelligence regarding Libya. e declined to discuss what he described as the second phase of theoperation.owever, already there is evidence that the first phase of the operation is underway. On , 26, on Fox News, Karl Rove called Obama's reaction to what happened in Libya""inexplicable"" and added that Obama is ""more intent on campaigning than meeting hisresponsibilities as commander-in-chief."" e went on to warn that Obama's policies in Libyaendangered the U.S. with regard to Iran. ""I am astonished,"" Rove said. ""We are projecting weaknesswhen we need to be projecting strength.""Similarly, former New York or Rudolph Giuliani, a one-time GOP presidential hopeful whobecame known as the mayor of 9/11, followed Rove in criticizing Obama on the attack in Libya. ""Thisis a deliberate attempt to cover up the truth, from an administration that claimed it wanted to be themost transparent in history,"" he told Fox News. ""And it's the worst kind of cover-up: the kind ofcover-up that involves our national security. This is a cover-up that involves the slaughter of fourAmericans.""Giuliani added that the Obama White ouse wanted to dismiss the role played by al-Qaeda because itseemed to diminish the triumph of having killed Osama bin Laden. ""I think it's because they have thisnarrative that they defeated al-Qaeda,"" he said. ""They never say the words 'Islamic fundamentalistterrorism'. They want to wish it away. The president was moving on to Asia — he was going to declarethis a great victory for himself and unfortunately, this terrible act of terror intervened in their veryconvenient narrative.""Likewise, Bob Corker, publican senator from Tennessee, described the administration's response to""the terrorist attack"" in Libya as And on ,  30, both Mitt Romney andvice-presidential nominee Paul Ryan joined in the attacks. ""I think they want to do their very best tokeep the people of America from understanding exactly what happened. We expect candor, we expecttransparency, particularly as it relates to terrorism,"" Romney said.Added Ryan, ""Why is he (Obama) not on the same page with his own administration officials who aresaying that this is a terrorist attack? We'll leave it up to you to decide whether it's a cover-up or not.""In an apparently related development, a Politico artkle posted last night said Romney advisers weredivided over hovv aggressively to attack President Obama over his handling of the events in Libya. Oneunnamed Romney adviser described them as ""a huge gift"" to the campaign. ""Across the board —domestic, economic and foreign-policy issues — President Obama has been outmatched by events,"" hesaid. ""e's an observer of events, not a shaper of events. Everywhere you look, he's been outmatched.""But other Romney advisers, led by media strategist Stuart Stevens, wanted to stick to the economy asthe central issue. ""They'll tell you that you've got to focus people on the fact that their economicprospects are not very good and all that,"" the aide told Politico. ""Well, Romney's been trying to do thatnow since he clinched the nomination at the end of  — and he's failed. The president is better atdeflecting attention from the bad news than Romney is at driving home the impact of the bad news onindividual voters.""Craig Unger is the New York Times bestselling author of ""ouse of Bush, ouse of Saud,"" and afrequent analyst on CNN, ABC Radio, Air America, The Charlie Rose Show, NBC's day Show andother broadcast outlets. e has written for The New Yorker, Esquire and many other publications andis currently a contributing editor at Vanity Fair. of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045541"
47,48,30,4,3.0,11,0,0,0,Pis let me know what Phil finds out asap. Thx.
48,49,33,4,3.0,10,0,0,0,B5
49,50,29,5,11.0,7,0,0,0,deserved.By leadership - let me be dear- meant the 3 of you -- especially our Secretary- lovely speech!
